,,,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,,,,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022
State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
BR,Bihar,Kaimur,1649251,101000,56,916380,732871,836211,812518,522,26718,1622533,BR,Bihar,Kaimur,1656956.0,125750.0,88.0,920113.0,735978.0,839708.0,815859.0,524.0,29571.0,1627385.0
BR,Bihar,Katihar,2957549,83600,211,1761065,1196484,1472484,1484434,631,36124,2921425,BR,Bihar,Katihar,2982332.0,108400.0,228.0,1771710.0,1209872.0,1484319.0,1496627.0,636.0,43393.0,2938939.0
BR,Bihar,Khagaria,1540729,20600,42,901790,638939,722075,818231,423,38548,1502181,BR,Bihar,Khagaria,1550423.0,91551.0,173.0,906166.0,642265.0,725963.0,822042.0,426.0,41904.0,1508519.0
BR,Bihar,Kishanganj,1494545,136110,177,879987,614558,745964,748333,248,21230,1473315,BR,Bihar,Kishanganj,1504114.0,161320.0,218.0,885369.0,616712.0,749789.0,752042.0,250.0,25474.0,1478640.0
BR,Bihar,Lakhisarai,970726,19800,17,558164,412562,468651,501921,154,21763,948963,BR,Bihar,Lakhisarai,976523.0,128100.0,142.0,562281.0,413344.0,471236.0,504234.0,155.0,24660.0,951863.0
BR,Bihar,Madhepura,1898316,63020,210,1113025,785291,895902,1002029,385,34204,1864112,BR,Bihar,Madhepura,1908508.0,111220.0,297.0,1119391.0,786821.0,899731.0,1006096.0,385.0,39839.0,1868669.0
BR,Bihar,Madhubani,4211734,289690,129,2427403,1784331,1849389,2361329,1016,583179,3628555,BR,Bihar,Madhubani,4241315.0,604290.0,174.0,2449458.0,1788207.0,1861312.0,2375328.0,1025.0,604685.0,3636630.0
BR,Bihar,Munger,1568210,84197,192,885770,682440,794151,773750,309,33496,1534714,BR,Bihar,Munger,1577544.0,137822.0,290.0,893495.0,683280.0,798429.0,778035.0,311.0,40556.0,1536988.0
BR,Bihar,Muzaffarpur,4611895,106256,326,2730371,1881524,2182595,2428339,961,247379,4364516,BR,Bihar,Muzaffarpur,4651751.0,212436.0,730.0,2759497.0,1889870.0,2199993.0,2448406.0,968.0,272710.0,4379041.0
BR,Bihar,Nalanda,3085753,113000,169,1813473,1272280,1562426,1522623,704,241713,2844040,BR,Bihar,Nalanda,3097320.0,155320.0,206.0,1822158.0,1273895.0,1567969.0,1527380.0,704.0,249845.0,2847475.0
BR,Bihar,Nawada,2210964,525610,501,1291514,919450,1058702,1151862,400,72338,2138626,BR,Bihar,Nawada,2225616.0,568926.0,551.0,1302762.0,921744.0,1065615.0,1158488.0,403.0,82583.0,2143033.0
BR,Bihar,Patna,7010637,670212,147,3821302,3189335,3750646,3258418,1573,3708648,3290502,BR,Bihar,Patna,7044598.0,1439819.0,193.0,3846258.0,3194657.0,3766853.0,3272484.0,1578.0,3734947.0,3298119.0
BR,Bihar,Purnia,3395192,202281,292,2008438,1386754,1798911,1595334,947,582413,2812605,BR,Bihar,Purnia,3412990.0,223069.0,338.0,2020357.0,1389220.0,1806863.0,1601764.0,949.0,593508.0,2819305.0
BR,Bihar,Rohtas,2969643,117787,286,1724384,1245259,1490414,1478412,817,113095,2856548,BR,Bihar,Rohtas,2996598.0,168735.0,436.0,1745612.0,1250052.0,1502881.0,1491961.0,822.0,132581.0,2864017.0
BR,Bihar,Saharsa,1957792,82810,227,1175943,781849,947348,1010101,343,35029,1922763,BR,Bihar,Saharsa,1965980.0,118022.0,264.0,1181518.0,784025.0,951093.0,1014105.0,345.0,39587.0,1926393.0
